date,startup,vertical,subvertical,city,investors,round,amount,year,month,quarter,month_year,funding_range,investor_count
2017-12-06,LendingKart,Consumer Tech,Online Lending platform,Ahmedabad,Yes Bank,Debt,64.35,2017,12,4,2017-12,50-100Cr,1
2017-12-06,Boxx.ai,Tech,Artificial Intelligence,Bengaluru,"Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava",Private Equity,4.125,2017,12,4,2017-12,1-10Cr,4
2017-12-06,PeeSafe.in,Health,Hygiene care product manufacturer,Delhi,"Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures",Private Equity,8.25,2017,12,4,2017-12,1-10Cr,4
2017-12-06,Vista Rooms,Consumer Tech,Online rooms aggregation platform,Mumbai,"Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham",Seed,6.402,2017,12,4,2017-12,1-10Cr,4
2017-12-06,CoverFox,Consumer Tech,Online insurance brokerage platform,Mumbai,Transamerica,Private Equity,123.75,2017,12,4,2017-12,100-500Cr,1
2017-06-13,HyperTrack,Tech,Location tracking solutions,Delhi,"Nexus Venture Partners, Founders Fund",Private Equity,0.0,2017,6,2,2017-06,,2
2017-06-13,Goodera,Tech,CSR and sustainability management platform,Bengaluru,"Nexus Venture Partners, Omidyar Network",Private Equity,45.375,2017,6,2,2017-06,10-50Cr,2
2017-06-13,Digit,Tech,Tech driven Insurance platform,Bengaluru,Fairfax Holdings,Private Equity,0.0,2017,6,2,2017-06,,1
2017-06-14,Ola,Consumer Tech,Cab Aggregation App,Bengaluru,Tekne Capital Management LLC,Private Equity,412.5,2017,6,2,2017-06,100-500Cr,1
2017-06-14,Vanitycask,Consumer Tech,Beauty products discovery platform,Mumbai,RB Investments,Seed,0.0,2017,6,2,2017-06,,1
2017-06-14,MrNeeds,Consumer Tech,Micro Food Delivery platform,Noida,undisclosed investors,Seed,4.125,2017,6,2,2017-06,1-10Cr,1
2017-06-15,MoneyTap,Consumer Tech,Money Lending platform,Bengaluru,"Sequoia India, NEA, Prime Venture Partners",Private Equity,101.475,2017,6,2,2017-06,100-500Cr,3
2017-06-16,Goodbox,eCommerce,Mobile SAAS\\xc2\\xa0 ECommerce platform for SMEs,Bengaluru,"Nexus Venture Partners, Mekin Maheshwari",Private Equity,8.25,2017,6,2,2017-06,1-10Cr,2
2017-06-16,Fincash,Consumer Tech,Personal Finance platform,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed,0.825,2017,6,2,2017-06,<1Cr,2
2017-06-16,PortDesk,Tech,Maritime Solutions,Noida,Alphard Maritime Group,Seed,16.5,2017,6,2,2017-06,10-50Cr,1
2017-06-16,EdgeFx,eCommerce,DIY project Kits seller,Hyderabad,"Cross Border Angels & Experts, Rajasthan Angel Innovators Network, The Chennai Angels",Seed,0.0,2017,6,2,2017-06,,3
2017-06-16,EazyDiner,Consumer Tech,Online Restaurant Reservation Platform,Gurugram,YouWeCan Ventures,Seed,0.0,2017,6,2,2017-06,,1
2017-06-16,HealthIntel,Health,Online Pharmacy,Delhi,BLIP Initiatives,Seed,0.0,2017,6,2,2017-06,,1
2017-06-19,Unbxd,Tech,Cloud-based product discovery platform,Bengaluru,Eight Roads Ventures,Private Equity,103.125,2017,6,2,2017-06,100-500Cr,1
2017-06-19,DarwinBox,Tech,Enterprise human resources management platform,Hyderabad,"Lightspeed India Partners, Endiya Partners, 3one4 Capital Advisors LLP, Startupxseed Ventures LLP",Private Equity,33.0,2017,6,2,2017-06,10-50Cr,4
2017-06-20,ForeverShop,Consumer Tech,Mobile based ecommerce platform,Bengaluru,91maker.com,Seed,2.475,2017,6,2,2017-06,1-10Cr,1
2017-06-20,Insider.in,Consumer Tech,Events Ticketing platform,Mumbai,Paytm,Private Equity,42.9,2017,6,2,2017-06,10-50Cr,1
2017-06-21,Fynd,eCommerce,Fashion etailer,Mumbai,"IIFL Seed Ventures, Kae Capital, FJ Labs, Singularity Ventures, GrowX, Tracxn Labs, Axis Capital",Private Equity,19.8,2017,6,2,2017-06,10-50Cr,7
2017-06-21,Grow Fit,Consumer Tech,Health-Tech platform,Bengaluru,"Manipal Education and Medical Group (MEMG), SAR Group, The Grover Trust",Private Equity,37.125,2017,6,2,2017-06,10-50Cr,3
2017-06-21,Fabulyst,Tech,Artificial Intelligence based platform,Hyderabad,iBhubs,Seed,1.77375,2017,6,2,2017-06,1-10Cr,1
2017-06-21,mSwipe,Tech,Point-of-Sale services,Mumbai,"UC-RNT Fund, Matrix Partners, alcon Edge Capital, DSG Consumer Partners",Private Equity,255.75,2017,6,2,2017-06,100-500Cr,4
2017-06-21,OneAssist,Consumer Tech,Credit card fraud protection,Mumbai,Sequoia Capital,Private Equity,0.0,2017,6,2,2017-06,,1
2017-06-22,Julia Computing,Tech,Open Source Language for Data Science and Machine Learning,Bengaluru,"General Catalyst, Founder Collective",Private Equity,37.95,2017,6,2,2017-06,10-50Cr,2
2017-06-22,Kissht,Consumer Tech,Consumer Lending platform,Mumbai,"Endiya Partners, Ventureast",Private Equity,16.5,2017,6,2,2017-06,10-50Cr,2
2017-06-22,Explore Life traveling,Consumer Tech,Local homes booking platform,Bengaluru,"Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere",Seed,4.125,2017,6,2,2017-06,1-10Cr,4
2017-06-23,Loantap,Consumer Tech,Lending platform for salaried professionals,Mumbai,"Kae Capital, India Quotient, IFMR, and MAS Financial Services Ltd",Private Equity,33.0,2017,6,2,2017-06,10-50Cr,4
2017-06-23,Voxweb,Consumer Tech,Mobile based social networking platform,Mumbai,Undisclosed investors,Seed,8.25,2017,6,2,2017-06,1-10Cr,1
2017-06-26,HUG Innovations,Tech,Gesture based\\xc2\\xa0 Smartwatch manufacturer,Hyderabad,"Mohit Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon",Private Equity,41.25,2017,6,2,2017-06,10-50Cr,4
2017-06-26,Flipkart,eCommerce,Online marketplace,Bengaluru,Naspers,Private Equity,585.75,2017,6,2,2017-06,>500Cr,1
2017-06-26,V Resorts,Consumer Tech,Holiday & Vacation resort aggregator,Noida,"Seedfund, RB International",Private Equity,33.0,2017,6,2,2017-06,10-50Cr,2
2017-06-27,Stashfin,Consumer Tech,Personal Finance App,Delhi,"Snow Leopard Ventures, Alto Partners",Private Equity,41.25,2017,6,2,2017-06,10-50Cr,2
2017-06-27,Formcept,Consumer Tech,Unified Data Analysis platform,Bengaluru,Gujarat Venture Finance Ltd,Private Equity,0.0,2017,6,2,2017-06,,1
2017-06-27,Spares Hub,eCommerce,Automobile parts marketplace,Pune,"The Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting",Seed,2.56575,2017,6,2,2017-06,1-10Cr,4
2017-06-28,FiTraQ,Consumer Tech,Fitness Centre Discovery Platform,Delhi,"Aparup Sengupta, Devendra Reddy,",Seed,0.0,2017,6,2,2017-06,,3
2017-06-28,Rubique,Consumer Tech,Online Marketplace for financial products,Mumbai,"Kalaari Capital, Udayan Goyal",Private Equity,24.75,2017,6,2,2017-06,10-50Cr,2
2017-06-28,Niki.ai,Consumer Tech,AI Based Personal Assistant,Bengaluru,"SAP.iO, Unilazer Ventures",Private Equity,16.5,2017,6,2,2017-06,10-50Cr,2
2017-06-29,Fitpass,Consumer Tech,Online Fitness Marketplace,Delhi,"Abhinav Bindra, Gaurav Marya",Private Equity,8.25,2017,6,2,2017-06,1-10Cr,2
2017-06-29,ZingHR,Tech,"digital employee solutions,",Mumbai,Zeta,Private Equity,0.0,2017,6,2,2017-06,,1
2017-06-30,Tagos Design,Tech,in-video discovery platform,Bengaluru,Undisclosed Investors,Private Equity,41.25,2017,6,2,2017-06,10-50Cr,1
2017-06-30,UrbanClap,Consumer Tech,Mobile Services Marketplace,Gurugram,"Vy Capital, SAIF Partners, Accel Partner, Bessemer Venture Partners",Private Equity,173.25,2017,6,2,2017-06,100-500Cr,4
2017-01-05,Ace2three,Consumer Tech,Online Rummy playing Website,Hyderabad,Clairvest Group,Private Equity,608.025,2017,1,1,2017-01,>500Cr,1
2017-01-05,Power2SME,eCommerce,Buying portal for SMEs,Gurugram,International Finance Corporation,Private Equity,82.5,2017,1,1,2017-01,50-100Cr,1
2017-02-05,Innovapptive,Tech,Enterprise Mobility Solutions,Hyderabad,Hyderabad Angels,Seed,12.375,2017,2,1,2017-02,10-50Cr,1
2017-02-05,4tigo,Logistics,Truck Network company,Bengaluru,"Accel Partners, Nandan Nilekani,",Private Equity,82.5,2017,2,1,2017-02,50-100Cr,3
2017-02-05,SMECorner,Consumer Tech,Online Platform for small business loans,Mumbai,Dutch government fund,Private Equity,0.0,2017,2,1,2017-02,,1
2017-02-05,ZippServe,Consumer Tech,Real estate risk assessment platform,Bengaluru,undisclosed investors,Seed,3.2175,2017,2,1,2017-02,1-10Cr,1
2017-03-05,Ola,Consumer Tech,Cab Aggregation App,Bengaluru,"Falcon Edge Capital,\\xc2\\xa0 Capital Advisers",Private Equity,862.125,2017,3,1,2017-03,>500Cr,2
2017-03-05,Sumeru,Tech,Software & Mobile development services,Bengaluru,undisclosed investors,Seed,8.25,2017,3,1,2017-03,1-10Cr,1
2017-04-05,Healthians,Consumer Tech,Online Diagnostics and wellness platform,Delhi,"Asuka Holdings, YouWeCan Ventures, Beenext, Beenos, M&S Partners",Private Equity,0.0,2017,4,2,2017-04,,5
2017-05-05,HealthMir,Consumer Tech,AI-based health content platform,Delhi,Nimit Panigrahi,Seed,0.0,2017,5,2,2017-05,,1
2017-05-05,Uactive,Consumer Tech,Health-based social networking & discovery App,Mumbai,Hinduja family,Seed,0.0,2017,5,2,2017-05,,1
2017-05-05,i-lend,Consumer Tech,Peer-to-peer lending platform,Hyderabad,50K Ventures,Seed,0.0,2017,5,2,2017-05,,1
2017-05-05,Good Methods Global,Tech,Cloud Based Practice Management Software,Trivandrum,Accel Partners,Private Equity,0.0,2017,5,2,2017-05,,1
2017-05-05,Balance App,Consumer Tech,Money Savings & Management App,Bengaluru,Rainmatter,Seed,1.92225,2017,5,2,2017-05,1-10Cr,1
2017-08-05,YepMe,eCommerce,Private Label Fashion etailer,Gurugram,"Rainbow Digital Services Pvt. Ltd, ILearnFinance Academy Pvt. Ltd.",Private Equity,5.775,2017,8,3,2017-08,1-10Cr,2
2017-08-05,Nightstay,Consumer Tech,Last minute hotel booking mobile app,Delhi,"Indian Angels Network, LetsVenture",Seed,0.0,2017,8,3,2017-08,,2
2017-08-05,Devourin,Tech,Restaurant Automation Solution,Pune,Deepak Nathani,Seed,0.0,2017,8,3,2017-08,,1
2017-08-05,MyGreens,Food & Beverage,Cold-press Juices manufacturer,Delhi,"Ajay Relan, LetsVenture",Seed,8.25,2017,8,3,2017-08,1-10Cr,2
2017-08-05,Ace Turtle,Tech,Omni-Channel Platform,Bengaluru,"Vertex Ventures, C31 Ventures",Private Equity,41.25,2017,8,3,2017-08,10-50Cr,2
2017-08-05,CureFit,Tech,Health-Tech Platform,Bengaluru,"Trifecta Capital Advisors LLP, Prathithi Investment Trust, RNT Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Sanghvi & others",Private Equity,26.4,2017,8,3,2017-08,10-50Cr,6
2017-09-05,Curie Labs,Tech,Energy Analytics startup,Delhi,Satoshi Studios,Seed,0.4125,2017,9,3,2017-09,<1Cr,1
2017-09-05,Uncanny Vision,Tech,Computer Vision on Embedded Systems,Bengaluru,Anand Chandrasekaran,Seed,0.0,2017,9,3,2017-09,,1
2017-09-05,Anchanto,Tech,Ecommerce Fulfilment and Technology Platform,Pune,Luxasia Group,Private Equity,0.0,2017,9,3,2017-09,,1
2017-09-05,Sequretek,Tech,IT Security & Data Management Services,Mumbai,"GVFL, Unicorn India Ventures",Private Equity,0.0,2017,9,3,2017-09,,2
2017-10-05,Lucideus,Tech,Cyber Security Startup,Delhi,"Vellayan Subbiah, Jonathan Boutelle, Rajan Anandan,\\xc2\\xa0 Rahul Chawla, Salil Donde, Amit Ranjan, Govind Rajan & Others",Seed,0.0,2017,10,4,2017-10,,7
2017-10-05,Vidooly,Consumer Tech,Video Intelligence platform,Noida,"Times Internet, GVFL",Private Equity,11.55,2017,10,4,2017-10,10-50Cr,2
2017-10-05,Shopclues,eCommerce,Online marketplace,Gurugram,InnoVen Capital,Private Equity,63.525,2017,10,4,2017-10,50-100Cr,1
